date;tas;sfcwind;rlds;rsds;huss;uas;vas
1991-11-25;1.5818923144634027;2.2591483596519284;275.90365503578647;57.89193559446709;3.05084030505545;-0.1279414785060597;-0.8856338367438048
1991-11-26;-0.4550158567301992;2.2887386182147185;225.9601264873052;92.6153004770582;2.852019828067622;-0.1390676301419834;-1.0592971690808215
1991-11-27;1.4929514062890803;6.103099839588522;301.03785189123965;26.521565240480648;3.8164631004181016;4.086268010693561;4.337300063648143
1991-11-28;3.268813497055419;2.8474343742646147;266.6928002733922;85.37534401076144;4.073184438104712;2.092538780331174;1.4027847599659444
1991-11-29;5.120510008914778;6.019829333804451;298.75336976078836;70.86504487102043;4.816287984035902;4.355901771452284;3.80463068440537
1991-11-30;5.637289092434173;3.9726321003557556;295.09485544448023;72.0567179482319;5.512810021733266;2.654072161595512;2.4654881396770585
1991-12-01;8.058992001347178;6.408710361062764;344.54206908818225;9.229583310831456;6.64188981065352;3.9232859859849265;5.086143739461919
1991-12-02;10.08081833230682;4.546917728612993;347.83189247143304;47.3680424116321;7.6568741551879675;3.3306745824758037;2.8329962502806723
1991-12-03;6.722466705654085;3.821248600414668;283.44650625161745;81.6839883639688;5.916634990764687;3.2587266447793;1.0568866082223018
1991-12-04;6.2340024807070336;5.242968724455038;289.6221707921698;61.11207952366705;4.948390492363984;3.6190341933099206;3.5924928273729915
1991-12-05;5.832038648732123;7.557958794606347;298.4772714127242;33.872558619976104;4.511482482739324;5.684622712966362;4.065402170594181
1991-12-06;0.6312684301357194;7.026412350749006;253.28370532693216;55.009047129209726;3.771712130984004;6.304007987637347;0.5048317991919453
1991-12-07;-0.6261330052932408;4.724695330263241;254.88950652778885;48.32270569081116;3.204796030323056;3.4118846200453627;1.0263342342041797
1991-12-08;0.9575460171965346;7.463418773623727;303.61948128726385;30.27183701620334;3.9873469089410425;4.836580876784939;5.356180924619993
1991-12-09;2.1811346585512297;4.043313988510829;280.2641125005153;50.99518240400316;4.14932652959922;3.0563974225449178;2.1140794225302555
1991-12-10;4.68132572572398;6.203569721694791;327.5658081299265;15.98032697466292;4.9094927809263345;4.085323646638648;4.10198926034661
1991-12-11;6.866384108809541;7.880315974435581;321.1068170640372;34.052225354748764;5.777806412652564;5.406890760406147;5.55895768753394
1991-12-12;7.372444871097571;8.182801279544423;302.70808770740376;44.32397736422818;5.536228435328634;5.374034389305278;6.032617722793231
1991-12-13;5.218603403940563;8.030209273130078;284.0630834487923;43.61143949678792;4.722123799449607;5.546326844799966;5.8630982683238235
1991-12-14;0.019787979113516485;7.016951517194426;244.54273248883007;48.86602935688877;3.439901452030487;5.142299686419719;3.3769066080397354
1991-12-15;-3.9064683251953056;4.13589406301121;233.31283743648234;63.17659579354484;2.2793332727348226;3.4025671643725928;-0.4021865346612476
1991-12-16;-0.7634440487401548;9.398613207676048;289.4476579643476;44.58016925599679;3.3580878938386998;6.094051297915829;6.510385261084519
1991-12-17;0.8016449971154884;7.780823075598426;285.84332005437676;35.187971470558935;4.176564497167272;5.912283587517486;4.649689038192995
1991-12-18;-6.5480027672775805;4.728496901070343;215.12967396465277;74.29131293258538;2.151336222031332;4.129325039023422;-1.1612565454876058
1991-12-19;-2.194460226805404;10.951161933334387;275.55554319070137;47.9435016025534;3.02831286091219;6.120516137396423;8.097138573239885
1991-12-20;1.781262766056102;9.39442429814362;317.37185175123216;24.223873250249227;4.676698480772293;6.18110750419559;7.302046681983166
1991-12-21;0.8363752791072443;9.951610120241458;276.5143339953628;54.65026552496892;4.153074040127747;7.398698080542698;6.476299474655124
1991-12-22;1.109462164805791;7.222559209827865;298.75862804920735;46.47513439430962;4.353510379808351;4.508214700847583;5.2951015127971335
1991-12-23;0.30818366218181836;9.388232771479624;278.77471003137714;53.5218986205042;4.068254251022249;6.575255326050187;6.150394328944821
1991-12-24;1.441484779684913;10.59471277376452;274.91518878047566;46.65899102057546;4.38467376206705;7.360455187110357;6.875955501793394
1991-12-25;1.0398681658047053;11.615621716676493;260.43556155596536;54.57250190935671;4.054013086708047;9.309422859023437;7.25861626734915
1991-12-26;2.2203808204793063;8.592371500946392;282.53082801285035;45.871594140365474;3.9148312414228865;5.089443383093552;6.6579149622586025
1991-12-27;2.9397589971;11.492963643691938;283.8900802025748;26.495453566342988;4.812599448572195;6.700996011961105;9.131418469087112
1991-12-28;0.6835573347874515;9.009189070940883;251.56163141835984;77.41492554249413;3.3040513143829786;5.004663111554282;7.685627201448112
1991-12-29;2.0303027932236546;7.19296587533047;273.23477719334505;38.65163815897757;3.9638771983629315;4.676759396204928;5.300096196176328
1991-12-30;1.4659306417669313;5.632706218620196;282.7737721744171;48.008768495531406;4.1750266094321145;3.374477360692275;4.384003179506621
1991-12-31;-0.20342835407080884;8.391298208544287;257.0892888521799;35.929390769006105;3.328972580964645;4.39819312117003;6.650943033652147
1992-01-01;-0.8885487970330246;6.758388041066549;260.6588906418965;64.05403999484484;3.1984326728755157;4.661766502231725;5.04962880236024
1992-01-02;-0.8458884376938727;9.070367267851113;278.8830825944606;32.52335092842861;3.581495885257273;5.853867065025375;5.672910576763513
1992-01-03;-1.9331842571310744;5.69528676516344;277.35933345559295;39.02697840560468;3.329794301559955;3.6721753567017936;0.7306460668984036
1992-01-04;0.4354404930479632;9.297512388372901;294.5824630330828;34.95712651895394;4.166354767091295;6.392653252751584;5.62567298366751
1992-01-05;-1.1739810398008217;11.965041330924297;240.4796554637109;74.95483781798407;3.391006081455808;11.329169848343565;-0.34788930465115664
1992-01-06;-2.274111546541917;5.436876181255042;267.4384567886031;36.67168616982063;3.239825436854253;4.004595206083147;2.6806993079403862
1992-01-07;-5.011556359164899;4.686991733359155;221.72432275702013;90.90045619564155;2.475996701220942;3.0627518639818687;-0.6686672228089878
1992-01-08;-3.936938303016234;5.245101408102922;254.08766283370156;65.99275062834768;2.4099479266264927;2.905102930937357;1.783903391867454
1992-01-09;0.052404780846870835;6.59561547064128;273.5410694516517;68.6871906093219;3.999569377394537;5.588569354857773;1.7191253891225038
1992-01-10;0.36701565746500364;6.679032298418378;274.73649354482006;67.9289010820527;3.921431360065399;4.146450352716625;4.826533657732394
1992-01-11;2.2266513664661716;8.007253812317035;291.84929828760926;46.083384149668404;4.737075967562139;5.088472432727616;5.9239989263947015
